user_id,user_archetype,user_home_latitude,user_home_longitude,user_preferred_categories,transaction_id,timestamp,amount,merchant_id,merchant_name,merchant_category,merchant_latitude,merchant_longitude,transaction_type,transaction_latitude,transaction_longitude,distance_from_home,device_id,device_type,is_trusted_device,cvv_provided,three_d_secure,auth_attempts,is_fraud
002722e4-f618-4104-ae0e-c7613376fa03,Small Business Owner,44.07974428370873,-70.58053622575365,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX001,2024-10-15 09:15:00,350.75,M001,Office Depot,Office Supplies,44.075,-70.5865,in-person,44.075,-70.5865,1.5,D001,desktop,True,True,authenticated,1,False
002722e4-f618-4104-ae0e-c7613376fa03,Small Business Owner,44.07974428370873,-70.58053622575365,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX002,2024-10-20 12:45:00,175.0,M002,National Chain Restaurant,Restaurant,44.081,-70.575,in-person,44.081,-70.575,2.0,D002,mobile,True,True,authenticated,1,False
002722e4-f618-4104-ae0e-c7613376fa03,Small Business Owner,44.07974428370873,-70.58053622575365,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX003,2024-10-25 08:30:00,600.5,M003,Printing Service,Professional Services,44.09,-70.58,in-person,44.09,-70.58,8.0,D003,tablet,False,True,not_authenticated,3,True
002722e4-f618-4104-ae0e-c7613376fa03,Small Business Owner,44.07974428370873,-70.58053622575365,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX004,2024-10-28 14:20:00,820.1,M004,Home Hardware,Hardware,43.99,-70.5805,in-person,43.99,-70.5805,9.0,D004,mobile,True,True,authenticated,1,False
002722e4-f618-4104-ae0e-c7613376fa03,Small Business Owner,44.07974428370873,-70.58053622575365,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX005,2024-11-01 18:05:00,265.0,M005,Local Grocer,Grocery,44.0725,-70.579,in-person,44.0725,-70.579,3.0,D005,desktop,True,True,authenticated,1,False
002722e4-f618-4104-ae0e-c7613376fa03,Small Business Owner,44.07974428370873,-70.58053622575365,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX006,2024-11-02 10:00:00,450.0,M006,Office Supply City,Office Supplies,44.07,-70.59,online,44.07,-70.59,4.0,D006,mobile,True,True,authenticated,1,False
002722e4-f618-4104-ae0e-c7613376fa03,Small Business Owner,44.07974428370873,-70.58053622575365,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX007,2024-11-03 19:45:00,200.0,M007,National Chain Restaurant,Restaurant,43.95,-70.56,in-person,43.95,-70.56,25.0,D007,tablet,True,True,authenticated,1,False
002722e4-f618-4104-ae0e-c7613376fa03,Small Business Owner,44.07974428370873,-70.58053622575365,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX008,2024-11-04 15:30:00,785.0,M008,Fine Dining Place,Restaurant,44.12,-70.55,in-person,44.12,-70.55,12.0,D008,mobile,False,True,not_authenticated,2,True
002722e4-f618-4104-ae0e-c7613376fa03,Small Business Owner,44.07974428370873,-70.58053622575365,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX009,2024-11-05 11:00:00,400.0,M009,Wholesaler,Wholesale,44.07,-70.58,online,44.07,-70.58,4.5,D009,desktop,True,True,authenticated,1,False
002722e4-f618-4104-ae0e-c7613376fa03,Small Business Owner,44.07974428370873,-70.58053622575365,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX010,2024-11-05 16:30:00,920.0,M010,Local Hardware Store,Hardware,44.085,-70.575,in-person,44.085,-70.575,2.5,D010,mobile,True,True,authenticated,1,False
01b63cb4-93f8-4520-9634-7bbaac8cc2e1,Gig Economy Worker,47.85770388826191,-121.00132403753872,"Gas,Restaurant,Grocery,Automotive,Coffee Shops",TX010,2024-10-26 11:20:00,120.75,M010,Online Electronics Store,Online Shopping,0.0,0.0,online,0.0,0.0,0.0,D010,mobile,True,True,authenticated,2,True
01b63cb4-93f8-4520-9634-7bbaac8cc2e1,Gig Economy Worker,47.85770388826191,-121.00132403753872,"Gas,Restaurant,Grocery,Automotive,Coffee Shops",TX008,2024-10-27 19:30:00,53.25,M008,Fast Food Joint,Restaurant,47.886,-121.015,in-person,47.886,-121.015,10.0,D008,mobile,True,True,authenticated,1,False
01b63cb4-93f8-4520-9634-7bbaac8cc2e1,Gig Economy Worker,47.85770388826191,-121.00132403753872,"Gas,Restaurant,Grocery,Automotive,Coffee Shops",TX009,2024-10-28 15:00:00,95.4,M009,Supermarket - Town Center,Grocery,48.005,-121.05,in-person,48.005,-121.05,15.5,D009,mobile,True,True,authenticated,1,False
01b63cb4-93f8-4520-9634-7bbaac8cc2e1,Gig Economy Worker,47.85770388826191,-121.00132403753872,"Gas,Restaurant,Grocery,Automotive,Coffee Shops",TX006,2024-10-29 13:15:00,200.0,M006,Car Wash,Automotive,47.86,-121.022,in-person,47.86,-121.022,5.0,D006,mobile,True,True,authenticated,1,False
01b63cb4-93f8-4520-9634-7bbaac8cc2e1,Gig Economy Worker,47.85770388826191,-121.00132403753872,"Gas,Restaurant,Grocery,Automotive,Coffee Shops",TX007,2024-10-30 17:45:00,80.9,M007,Local Bakery Cafe,Coffee Shops,47.8655,-121.003,in-person,47.8655,-121.003,4.2,D007,mobile,True,True,authenticated,1,False
01b63cb4-93f8-4520-9634-7bbaac8cc2e1,Gig Economy Worker,47.85770388826191,-121.00132403753872,"Gas,Restaurant,Grocery,Automotive,Coffee Shops",TX003,2024-11-01 18:30:00,60.5,M003,Supermarket,Grocery,47.867,-121.011,in-person,47.867,-121.011,4.0,D003,mobile,True,True,authenticated,1,False
01b63cb4-93f8-4520-9634-7bbaac8cc2e1,Gig Economy Worker,47.85770388826191,-121.00132403753872,"Gas,Restaurant,Grocery,Automotive,Coffee Shops",TX001,2024-11-02 09:15:00,45.75,M001,Local Gas Station,Gas,47.865,-121.0215,in-person,47.865,-121.0215,5.5,D001,mobile,True,True,authenticated,1,False
01b63cb4-93f8-4520-9634-7bbaac8cc2e1,Gig Economy Worker,47.85770388826191,-121.00132403753872,"Gas,Restaurant,Grocery,Automotive,Coffee Shops",TX002,2024-11-03 12:45:00,85.2,M002,Local Diner,Restaurant,47.855,-120.998,in-person,47.855,-120.998,3.0,D002,mobile,True,True,authenticated,1,False
01b63cb4-93f8-4520-9634-7bbaac8cc2e1,Gig Economy Worker,47.85770388826191,-121.00132403753872,"Gas,Restaurant,Grocery,Automotive,Coffee Shops",TX004,2024-11-04 08:00:00,37.9,M004,Local Cafe,Coffee Shops,47.85,-121.005,in-person,47.85,-121.005,2.5,D004,mobile,True,True,authenticated,1,False
01b63cb4-93f8-4520-9634-7bbaac8cc2e1,Gig Economy Worker,47.85770388826191,-121.00132403753872,"Gas,Restaurant,Grocery,Automotive,Coffee Shops",TX005,2024-11-05 10:30:00,120.5,M005,Repair Shop,Automotive,47.8505,-121.015,in-person,47.8505,-121.015,6.7,D005,mobile,True,True,authenticated,1,False
022f6a5d-3e59-4068-a38b-39690162c8d1,Small Business Owner,46.3796,-77.4197,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX005,2024-10-29 16:50:00,95.0,M005,Food Truck,Restaurant,46.402,-77.42,in-person,46.402,-77.42,5.0,D005,mobile,True,True,authenticated,1,False
022f6a5d-3e59-4068-a38b-39690162c8d1,Small Business Owner,46.3796,-77.4197,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX001,2024-10-30 09:15:00,150.75,M001,Local Office Supplies,Office Supplies,46.385,-77.425,in-person,46.385,-77.425,2.5,D001,mobile,True,True,authenticated,1,False
022f6a5d-3e59-4068-a38b-39690162c8d1,Small Business Owner,46.3796,-77.4197,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX007,2024-10-31 15:45:00,120.0,M007,Printing Service,Professional Services,46.395,-77.415,in-person,46.395,-77.415,2.0,D007,mobile,True,True,authenticated,1,False
022f6a5d-3e59-4068-a38b-39690162c8d1,Small Business Owner,46.3796,-77.4197,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX006,2024-11-01 11:20:00,800.0,M006,Wholesale Supplies,Wholesale,45.9,-76.9,in-person,45.9,-76.9,40.0,D006,desktop,True,True,authenticated,1,False
022f6a5d-3e59-4068-a38b-39690162c8d1,Small Business Owner,46.3796,-77.4197,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX008,2024-11-02 12:10:00,300.0,M008,Food Truck,Restaurant,46.401,-77.425,in-person,46.401,-77.425,4.0,D008,mobile,True,True,authenticated,1,True
022f6a5d-3e59-4068-a38b-39690162c8d1,Small Business Owner,46.3796,-77.4197,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX002,2024-11-02 14:45:00,220.0,M002,Consulting Firm,Professional Services,46.37,-77.41,in-person,46.37,-77.41,1.0,D002,desktop,True,True,authenticated,1,False
022f6a5d-3e59-4068-a38b-39690162c8d1,Small Business Owner,46.3796,-77.4197,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX003,2024-11-03 19:10:00,350.5,M003,National Chain,Retail,46.4,-77.45,in-person,46.4,-77.45,4.0,D003,mobile,True,True,authenticated,1,False
022f6a5d-3e59-4068-a38b-39690162c8d1,Small Business Owner,46.3796,-77.4197,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX004,2024-11-04 12:30:00,600.0,M004,Local Hardware Store,Hardware,46.39,-77.43,in-person,46.39,-77.43,3.5,D004,desktop,True,True,authenticated,1,False
022f6a5d-3e59-4068-a38b-39690162c8d1,Small Business Owner,46.3796,-77.4197,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX010,2024-11-04 13:00:00,710.0,M010,Hardware Store,Hardware,46.365,-77.45,in-person,46.365,-77.45,6.0,D010,desktop,True,True,authenticated,1,False
022f6a5d-3e59-4068-a38b-39690162c8d1,Small Business Owner,46.3796,-77.4197,"Office Supplies,Professional Services,Restaurant,Hardware,Wholesale",TX009,2024-11-05 17:00:00,450.0,M009,Local Restaurant,Restaurant,46.375,-77.42,in-person,46.375,-77.42,3.0,D009,mobile,True,True,authenticated,1,False
